Date,Hong Kong MarketValueUSD,Hong Kong Count,United States MarketValueUSD,United States Count,Europe MarketValueUSD,Europe Count,Australia MarketValueUSD,Australia Count
2022-03-23,1145356.64,1.00,106167472.96,42,1176682.56,1.00,,
2022-03-24,1187195.54,1.00,113042159.15,42,1227021.62,1.00,,
2022-03-25,1218188.66,1.00,113777966.93,42,1228349.52,1.00,,
2022-03-28,1248044.03,1.00,122990731.99,46,1033844.69,1.00,,
2022-03-29,1183906.48,1.00,127468233.76,42,884197.19,1.00,,
2022-03-30,1308839.16,1.00,132319150.86,42,604023.38,1.00,,
2022-03-31,1307815.03,1.00,136924170.65,42,295803.07,1.00,,
2022-04-01,1405402.35,1.00,136548282.69,42,0.00,1.00,,
2022-04-04,1351920.98,1.00,138087542.78,48,,,,
2022-04-05,1351920.98,1.00,134262046.32,38,,,,
2022-04-06,1341256.55,1.00,119160089.39,38,,,,
2022-04-07,1207578.33,1.00,113626409.01,37,,,,
2022-04-08,1158927.51,1.00,112969350.74,37,,,,
2022-04-11,1127185.73,1.00,110847582.95,44,,,,
2022-04-12,1143409.31,1.00,107782328.26,38,,,,
2022-04-13,1080128.39,1.00,109167067.22,38,,,,
2022-04-14,1093220.96,1.00,108864885.78,37,,,,
2022-04-15,1093220.96,1.00,108864885.78,37,,,,
2022-04-18,1093220.96,1.00,105274916.53,41,,,,
2022-04-19,1005588.68,1.00,105653023.86,37,,,,
2022-04-20,1020483.22,1.00,110373944.04,36,,,,
2022-04-21,1081982.34,1.00,109184568.52,36,,,,
2022-04-22,1130530.78,1.00,93478157.12,36,,,,
2022-04-25,932490.16,1.00,76673273.95,38,,,,
2022-04-26,827668.80,1.00,78118866.16,32,,,,
2022-04-27,902756.40,1.00,75815498.82,31,,,,
2022-04-28,871062.34,1.00,77692694.65,31,,,,
2022-04-29,885445.80,1.00,69279063.75,31,,,,
2022-05-02,885445.80,1.00,57988562.06,37,,,,
2022-05-03,641992.04,1.00,58331159.48,34,,,,
2022-05-04,661924.79,1.00,60474360.41,34,,,,
2022-05-05,663674.76,1.00,59184728.62,34,,,,
2022-05-06,0.00,1.00,48821348.80,35,,,,
2022-05-09,,,45243424.38,37,,,,
2022-05-10,,,39503590.44,33,,,,
2022-05-11,,,36450006.70,33,,,,
2022-05-12,,,36270908.46,33,,,,
2022-05-13,,,37884583.71,33,,,,
2022-05-16,,,37874724.63,36,,,,
2022-05-17,,,40622111.29,36,,,,
2022-05-18,,,39184923.23,31,,,,
2022-05-19,,,35014376.72,33,,,,
2022-05-20,,,35286110.41,31,,,,
2022-05-23,,,38046110.38,40,,,,
2022-05-24,,,37626561.54,31,,,,
2022-05-25,,,39616296.32,31,,,4753.23,1.00
2022-05-26,,,42244827.90,31,,,4760.67,1.00
2022-05-27,,,43611414.43,31,,,5147.93,1.00
